Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
96072-010,1,24-Jan-97,Ammunition Procurement Planning System- data sructure,DY,,96072 Files,wordpad doc. on alpha/apps/data_structure.txt,
96072-011,1,24-Jan-97,Ammunition Procurement Planning System - revised data structure,DM/RW,,96072 Files,wordpad doc. on alpha/apps/data_structure2.txt,
96072-012,1,24-Jan-97,Ammunition Procurement Planning System - revised data structure,DM/RW,,96072 Files,wordpad doc. on alpha/apps/data_structure3.txt,
96072-013,1,28-Jan-97,Ammunition Procurement Planning System - Database Conversion from Access 2.0 to Access 7.0,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-013.doc,
96072-014,1,11-Feb-97,Fax to Capt. John Harris Regarding Forms and Reports,DM/RW,,96072 Files,wordpad doc. on alpha/apps/feb11.doc,
96072-015,1,12-Feb-97,Fax to Capt Harris regarding Passwords,DM/RW,,96072 Files,Alpha/apps/documnets/feb12.doc,
96072-016,1,24-Feb-97,Ammunition Procurement Planning System - Implementation of EOQ Module.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-016.doc,
96072-017,1,06-Mar-97,"Ammunition Procurement Planning System - Implementation of Changes from Feb 26, 1997 Meeting.",DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-017.doc,
96072-018,1,18-Sep-97,Ammunition Material Management System (AMMS)- User’s Manual,JR/DM/WNE,,96072 Files,/cslt/docs/1996/96072/users_manual,
96072-019,1,22-Sep-97,Ammunition Material Management System (AMMS)- Acceptance Test Plan,???,,96072 Files,/cslt/docs/1996/96072/atp/0atp.bk,
96072-020,1,12-May-97,Letter to R. Klimowicz in response to his fax of May 7/97,PTM,,96072 File,/cslt/docs/1996/96072/Letters/96072-020.doc,
96072-021,1,19-Jun-97,Ammunition Material Management System (AMMS)- Fax to Capt John Harris regarding AMMS Schedule.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-021.doc,
96072-022,1,02-Jul-97,Ammunition Material Management System (AMMS)- Fax to Capt John Harris regarding AMMS Revised Schedule.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-022.doc,
96072-023,1,29-Aug-97,Ammunition Material Management System (AMMS)- Fax to Capt John Harris inquiring about Installation and Training Schedule.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-023.doc,
96072-024,1,31-Mar-97,Ammunition Material Management System (AMMS)- Requirements Traceability Matrix,WNE,,96072 Files,/cslt/docs/1996/96072/rtm/rtm.doc,
96072-025,1,27-Jan-98,Ammunition Material Management System (AMMS)- Reply to Capt John Harris letter of remaiging issues.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-025.doc,
96072-026,1,27-Jan-98,Ammunition Material Management System (AMMS)- PWGSC File No. W8480-5-AF07/A letter to Ms. Brenda Whitten,PM,,96072 Files,/cslt/docs/1996/96072/Letters/96072-026.doc,
96072-027,1,06-Oct-98,Ammunition Material Management System (AMMS)- Reply to Capt John Harris phone conversation regarding upgrade to Access 97.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-027.doc,
,,,,,,,,
96078-001,1,29-Aug-96,Letter to Awtar Regarding Support Contract for CIDAS 96/97,BOR,,96078 File,/cslt/docs/1996/96078/letters/Awtar0829.doc,
96078-002,1,29-Aug-96,Quotation for System Management and Maintenance Manual (SMMM).,BOR,,96078 File,/cslt/docs/1996/96078/quotes/smmm.doc,
96078-003,1,03-Sep-96,Quotation to Awtar/Vincent for work related to AR 9819.,WNE/LB,,96078 File,/cslt/docs/1996/96078/quotes/96078-003.doc,
96078-004,1,09-Sep-96,Letter 2 to Awtar Regarding Support Contract for CIDAS 96/97,BOR,,96078 File,/cslt/docs/1996/96078/letters/Awtar0909.doc,
96078-005,1,17-Sep-96,Quotation for installation covered by RSM 038,LB (WNE),,96078 File,/cslt/docs/96078/quotes/96078-005.doc,
96078-006,1,19-Sep-96,Quotation to Angela Franklin @ ICEC for work to be performed in August (Historical),WNE,,96078 File,/cslt/docs/1996/96078/quotes/96078-006.doc,
96078-007,1,20-Sep-96,Quotation to Angela Franklin @ ICEC for work to be performed re: AR 8681.,WNE,,96078 File,/cslt/docs/1996/96078/quotes/96078-007.doc,
96078-008,1,25-Sep-96,Response to Vincent @ ICEC re: his memo of 25 Sep 96,WNE,,96078 File,/cslt/docs/1996/96078/memos/96078-008.doc,
96078-009,1,09-Sep-96,Memo containing questions concerning Quotation Document 95052-014.,DSY,,96078 File,/cslt/docs/1996/96078/memos/96078-003.doc,
96078-010,1,03-Oct-96,Revised (reduced) quotation to Angela Franklin for work detailed in AR 9819,WNE,,96078 File,/cslt/docs/1996/96078/quotes/96078-010.doc,
96078-011,1,13-Jan-97,Quotation 96078-008 for the preparation of a development/test CIDAS system at CIS.,LB,,96078 File,/cslt/docs/1996/96078/quotes/96078-011.doc,
96078-012,1,28-Feb-97,Quotation to investigate and fix the slow response of system deliveries.,LB/WNE,,96078 File,/cslt/docs/1996/96078/quotes/96078-012.doc,
96078-013,1,13-Mar-97,Quotation 96078-010 for the preparation of a development/test CIDAS system at CIS. (Related to Quotation 96078-008.),LB,,96078 File,/cslt/docs/1996/96078/quotes/96078-011.doc,
,,,,,,,,
96080-001,1,12-Sep-96,ATIS Message Generation Prototype Development - Technical Proposal,PTM,,96080 File,/cslt/docs/1996/96080/proposal/technical/body.bk,
96080-002,1,12-Sep-96,ATIS Message Generation Prototype Development - Price and Method of Payment Proposal,PTM,,96080 File,/cslt/docs/1996/96080/proposal/cost/body.bk,
96080-003,1,28-Nov-96,ATIS Message Generation Prototype Development - System Requirements Specification,CDP,,96080 File,/cslt/docs/1996/96080/srs_docs/body.book,
96080-003,2,16-Dec-96,ATIS Message Generation Prototype Development - System Requirements Specification,CDP/PTM,,96080 File,/cslt/docs/1996/96080/srs_docs/body.book,
96080-003,3,22-Jan-97,ATIS Message Generation Prototype Development - System Requirements Specification,PTM,,96080 File,/cslt/docs/1996/96080/srs_docs/body.book,
96080-004,1,01-Dec-96,ATIS Message Generation Prototype Development - System Design Manual,CDP,,96080 File,/cslt/docs/1996/96080/sdm_docs/body.book,
96080-004,2,22-Jan-97,ATIS Message Generation Prototype Development - System Design Manual,BG,,96080 File,/cslt/docs/1996/96080/sdm_docs/body.book,
